ACCN,Cur_CRSP2ID_int
113410017,C.56.4.4.021
113410024,C.27.4.101.003
113410025,C.86.4.37.020
113410046,C.27.4.46.001
113410065,C.55.4.22.015
113410108,C.56.4.4.033
113410183,C.04.4.19.003
113410190,C.43.4.1.002
113410191,C.43.4.1.002
113410281,C.86.4.30.007
113420090,C.69.4.4.008
113420115,C.27.4.19.051
113420122,C.27.4.90.006
113430184,C.27.4.112.011
113440105,C.27.4.6.015
113440137,C.55.4.1.013
113450029,C.27.4.130.013
113450053,C.73.7.154.004
113450113,C.73.4.75.016
113460011,C.69.7.266.021
113460046,C.27.4.27.001
113460051,C.27.4.15.018
113460082,C.27.4.52.004
113460113,C.86.4.35.007
